주차장명,최대주차가능대수,현재주차대수,주차가능대수,주차비율,최종갱신일시,구,상태,수집기록일시,요일,시간
롯데 광복점 뒤(2),22,17,5,77.27272727272727,2026-06-26 16:50:01,중구,보통,2026-06-26 16:50:04,Friday,16
반여2배수지,111,38,73,34.234234234234236,2026-06-26 16:50:01,해운대구,충분,2026-06-26 16:50:04,Friday,16
요트경기장 앞 1구역,231,43,188,18.614718614718615,2026-06-26 16:50:01,해운대구,충분,2026-06-26 16:50:04,Friday,16
삼락천로,124,95,29,76.61290322580645,2026-06-26 16:50:01,사상구,충분,2026-06-26 16:50:04,Friday,16
부전복개도로1,20,7,13,35.0,2026-06-26 16:50:01,부산진구,충분,2026-06-26 16:50:04,Friday,16
부전복개도로2,23,16,7,69.56521739130434,2026-06-26 16:50:01,부산진구,보통,2026-06-26 16:50:04,Friday,16
적십자회관,31,0,31,0.0,2026-06-26 16:50:01,부산진구,충분,2026-06-26 16:50:04,Friday,16
대연고가밑,46,2,44,4.3478260869565215,2026-06-26 16:50:01,남구,충분,2026-06-26 16:50:04,Friday,16
골드테마거리,16,15,1,93.75,2026-06-26 16:50:01,부산진구,부족,2026-06-26 16:50:04,Friday,16
요트경기장 앞 2구역(대형),68,36,32,52.94117647058824,2026-06-26 16:50:01,해운대구,충분,2026-06-26 16:50:04,Friday,16
수안동주차빌딩,60,46,14,76.66666666666667,2026-06-26 16:50:01,동래구,충분,2026-06-26 16:50:04,Friday,16
구남역,122,59,63,48.36065573770492,2026-06-26 16:50:01,사상구,충분,2026-06-26 16:50:04,Friday,16
만덕2동사앞복개,73,55,18,75.34246575342466,2026-06-26 16:50:01,북구,충분,2026-06-26 16:50:04,Friday,16
